country,rate_2017_06
AT,5.3
BE,7.2
BG,6.2
CY,10.9
CZ,2.9
DE,3.8
DK,5.7
EE,6.5
EL,21.3
ES,17.1
FI,8.7
FR,9.6
HR,10.9
HU,4.2
IE,6.1
IS,2.8
IT,11.1
LT,7.0
LU,6.0
LV,8.9
MT,4.0
NL,4.9
NO,4.3
PL,5.0
PT,9.1
RO,5.0
SE,6.5
SI,6.6
SK,7.9
TR,11.1
UK,4.3
